Date,Session Type,Match Opponent,Player Name,Result,Position Category,GP,GS,GA,SV,SV%,W,L,T,SHO,Player Participation Time (min),Total Touches (#),Touches per min (#/min),Releases (#),Releases per min (#/min),RV Zone 1 [0-10( m/s)],RV Zone 2 [10-15( m/s)],RV Zone 3 [> 15( m/s)],Total Possessions (#),One-Touch (#),Short Possessions (#),Avg Time on Ball - Short (sec),Long possessions (#),Avg Time on Ball - Long (sec),Total Time on Ball (sec),Top Speed (m/s),Distance Covered (m),Work Rate (m/min),HID Covered (m) Zone 1 [> 4(m/s)],HID per min (m/min),SD Covered (m) [> 5.5(m/s)],SD per min (m/min),Sprint Count (#),Speed Zone 1 - DC (m),Speed Zone 2 - DC (m),Speed Zone 3 - DC (m),Speed Zone 4 - DC (m),Speed Zone 5 - DC (m),Speed Zone 6 - DC (m),Speed Zone 7 - DC (m),Speed Change Actions (#) [> 2.6(m/s^2)],Speed Change Actions per min (#/min),Horizontal Acc Zone 1 (#),Horizontal Acc Zone 2 (#),Horizontal Acc Zone 3 (#),Horizontal Acc Zone 4 (#),Horizontal Acc Zone 5 (#),Horizontal Acc Zone 6 (#),Horizontal Decl Zone 1 (#),Horizontal Decl Zone 2 (#),Horizontal Decl Zone 3 (#),Horizontal Decl Zone 4 (#),Horizontal Decl Zone 5 (#),Horizontal Decl Zone 6 (#),Horizontal Acc Zone 1 - DC (m),Horizontal Acc Zone 2 - DC (m),Horizontal Acc Zone 3 - DC (m),Horizontal Acc Zone 4 - DC (m),Horizontal Acc Zone 5 - DC (m),Horizontal Acc Zone 6 - DC (m),Horizontal Decl Zone 1 - DC (m) ,Horizontal Decl Zone 2 - DC (m),Horizontal Decl Zone 3 - DC (m),Horizontal Decl Zone 4 - DC (m),Horizontal Decl Zone 5 - DC (m),Horizontal Decl Zone 6 - DC (m),Receives (#),Release Velocity Min (m/s),Release Velocity Max (m/s),Release Velocity Avg (m/s)
9/17/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,26,8,0.3,0,0,0,0,0,0,0,0,,0,,0,2.99,367,13.7,0,0,0,0,0,266,25,77,0,0,0,0,1,0,593,21,2,0,2,1,607,15,1,2,0,0,163,15,2,1,2,0,168,11,2,2,0,0,0,,,
9/20/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,104,81,0.77,1,0.01,,,,,,,,,,,4.77,2834,27.02,38,0.37,0,0,0,1742,167,523,363,38,0,0,1,0,1982,247,47,15,4,1,2158,120,36,5,1,0,1057,233,68,16,4,2,1267,142,36,7,2,0,,,14.4,
9/20/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,79,116,1.46,13,0.16,6,7,0,13,6,4,1.13,3,4.19,17,4.77,2376,29.91,38,0.48,0,0,0,1564,159,339,275,38,0,0,1,0,1397,234,46,15,4,1,1563,115,36,5,1,0,840,220,68,16,4,2,1044,138,35,7,2,0,7,1.6,14.4,8.5
9/20/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,18,35,1.9,6,0.33,1,5,0,6,5,1,0.96,0,,1,4.77,979,53.23,25,1.34,0,0,0,425,69,223,238,25,0,0,1,0.1,273,55,22,10,2,1,315,37,16,2,1,0,309,92,48,10,2,2,415,73,23,4,2,0,1,,12.9,10.1
9/20/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,20,21,1.04,2,0.1,2,0,0,2,0,1,1.58,1,3.67,5,3.21,335,16.67,0,0,0,0,0,295,13,23,4,0,0,0,0,0,412,32,4,2,1,0,439,14,5,1,0,0,127,25,4,3,0,0,158,13,3,2,0,0,2,,8.4,8.2
9/20/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,24,41,1.66,3,0.12,3,0,0,3,1,1,0.21,1,5.83,6,2.67,492,19.86,0,0,0,0,0,458,25,9,0,0,0,0,0,0,440,89,14,0,0,0,501,32,10,1,0,0,192,51,7,0,0,0,218,19,5,1,0,0,2,1.6,3.6,2.8
9/7/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,169,100,0.59,50,0.3,,,,,,,,,,,5.73,5509,32.6,271,1.6,4,0.02,2,2054,279,2016,890,267,4,0,17,0.1,3464,211,99,34,22,17,3691,123,66,33,12,7,2042,296,157,54,39,19,2510,209,100,54,19,10,,,16,
9/7/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,111,114,1.02,67,0.6,34,29,4,67,46,10,1.19,11,2.88,44,5.73,5490,49.32,271,2.43,4,0.04,2,2035,279,2016,890,267,4,0,17,0.2,1928,209,99,34,22,17,2149,123,66,33,12,7,2033,295,157,54,39,19,2500,209,100,54,19,10,21,1.5,16,10
9/7/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,20,1,0.05,1,0.05,1,0,0,1,1,0,,0,,0,5.73,2583,123.67,247,11.83,3,0.14,1,197,58,1500,581,244,3,0,4,0.2,371,9,21,7,4,4,396,18,8,9,3,2,1071,55,45,17,11,7,1278,47,21,20,6,3,0,,9.9,9.9
9/7/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,27,67,2.41,44,1.58,26,18,0,44,32,3,1.18,9,2.93,30,4.37,1188,42.65,8,0.28,0,0,0,729,111,259,81,8,0,0,10,0.4,390,73,54,11,13,10,453,48,38,14,9,3,336,115,69,22,19,9,435,94,54,23,11,2,12,1.5,12.6,9
9/7/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,44,42,0.94,21,0.47,6,11,4,21,12,7,1.19,2,2.7,14,5.58,1025,23.04,16,0.36,1,0.02,1,810,80,98,22,15,1,0,3,0.1,804,95,18,15,5,3,918,42,17,10,0,2,314,93,36,15,9,3,463,52,23,11,2,5,9,2.6,16,12.2
9/8/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,83,58,0.7,24,0.29,,,,,,,,,,,4.3,1980,23.79,10,0.11,0,0,0,1092,179,597,102,10,0,0,2,0,1646,133,49,16,9,2,1752,84,29,10,3,5,664,182,81,23,7,1,836,122,39,15,6,4,,,14.7,
9/8/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,61,81,1.33,32,0.52,22,10,0,32,18,9,0.94,5,3.3,25,4.3,1894,31,10,0.16,0,0,0,1007,179,597,102,10,0,0,2,0,1131,130,49,16,9,2,1245,84,29,10,3,5,622,181,81,23,7,1,793,122,39,15,6,4,14,1,14.7,8.4
9/9/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,143,83,0.58,50,0.35,,,,,,,,,,,5.15,2534,17.62,6,0.04,0,0,0,1828,168,471,60,6,0,0,0,0,2969,192,63,13,6,0,3116,107,32,12,1,0,995,180,52,12,5,0,1148,102,30,8,2,0,,,16.8,
9/9/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,109,99,0.91,60,0.55,38,19,3,60,40,16,1.3,4,3.27,34,5.15,2406,22.08,6,0.06,0,0,0,1700,168,471,60,6,0,0,0,0,2102,188,63,13,6,0,2232,106,32,12,1,0,932,179,52,12,5,0,1084,102,30,8,2,0,20,2.2,16.8,9.5
9/9/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,47,74,1.56,46,0.97,35,11,0,46,30,15,1.26,1,3.09,22,2.67,780,16.4,0,0,0,0,0,639,68,73,0,0,0,0,0,0,920,73,40,7,0,0,986,58,13,3,0,0,282,72,23,3,0,0,344,46,9,1,0,0,16,3.8,12.2,8.8
9/9/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,54,23,0.42,13,0.24,2,8,3,13,9,1,1.92,3,3.32,12,5.15,1142,20.99,6,0.12,0,0,0,936,82,107,10,6,0,0,0,0,1071,96,19,6,6,0,1117,42,18,9,1,0,444,86,24,9,5,0,499,46,20,7,2,0,4,,16.8,12.5
9/11/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,101,163,1.61,97,0.96,74,23,0,97,77,14,1.25,6,4.03,42,4.66,2397,23.62,11,0.11,0,0,0,1764,210,363,49,11,0,0,4,0,1743,232,94,37,16,4,1936,164,49,21,6,5,726,230,108,41,15,4,1011,172,55,24,8,2,20,1.8,14.1,8.6
9/11/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,45,96,2.09,60,1.31,39,21,0,60,44,13,1.3,3,4.51,30,4.66,1460,31.8,11,0.24,0,0,0,957,147,307,38,11,0,0,4,0.1,680,128,61,30,14,4,779,109,30,20,5,5,404,146,79,36,15,4,579,121,44,23,8,2,16,1.8,14.1,9.4
9/11/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,21,31,1.47,17,0.8,17,0,0,17,16,1,0.66,0,,1,3.38,353,16.67,0,0,0,0,0,291,24,26,11,0,0,0,0,0,401,37,17,3,0,0,440,29,4,0,0,0,108,34,14,2,0,0,169,24,1,0,0,0,1,4.6,9,6.4
9/11/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,14,9,0.64,4,0.28,3,1,0,4,2,0,,2,2.82,6,3.71,284,20.11,0,0,0,0,0,255,12,5,12,0,0,0,1,0.1,267,29,3,0,0,1,284,10,3,0,0,0,113,19,3,0,1,1,135,9,3,0,0,0,2,8.6,11,9.5
11/3/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,226,108,0.48,5,0.02,,,,,,,,,,,5.42,3249,14.37,102,0.45,0,0,0,2066,263,620,200,102,0,0,2,0,4428,226,52,20,5,2,4530,120,38,6,0,0,1258,237,83,23,7,1,1420,163,54,3,0,0,,,12.4,
11/4/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,232,193,0.83,6,0.03,,,,,,,,,,,5.19,2865,12.32,189,0.81,0,0,0,1890,220,497,69,189,0,0,3,0,3718,310,66,16,5,3,3910,192,33,8,4,1,1049,246,66,20,7,3,1277,140,36,13,6,0,,,12.2,
11/7/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,312,232,0.74,13,0.04,,,,,,,,,,,6.2,4165,13.34,270,0.87,31,0.1,2,2833,445,418,199,239,31,0,4,0,2580,351,131,35,8,4,2845,231,66,24,11,0,1368,400,187,46,10,2,1775,227,89,46,15,0,,,13,
10/1/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,132,17,0.13,3,0.02,,,,,,,,,,,5.51,1654,12.48,43,0.32,1,0,1,867,83,562,99,42,1,0,2,0,4272,104,27,2,4,2,4340,61,13,8,0,1,668,92,31,8,6,3,741,58,20,10,1,1,,,12,
10/1/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,38,72,1.86,4,0.1,2,2,0,4,2,2,0.9,0,,2,5.51,1502,38.77,43,1.11,1,0.01,1,716,83,562,99,42,1,0,2,0.1,744,100,27,2,4,2,786,61,13,8,0,1,603,91,31,8,6,3,671,58,20,10,1,1,2,2.8,12,8.4
10/1/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,17,14,0.78,4,0.22,2,2,0,4,2,2,0.9,0,,2,5.51,451,25.17,11,0.62,1,0.03,1,253,47,126,14,11,1,0,1,0.1,365,26,12,1,2,1,380,19,5,4,0,0,174,30,13,4,2,1,191,21,9,6,0,0,2,2.8,12,8.4
10/2/2020,Training,,Keris Abbott (16),,Goalkeepers,,,,,,,,,,120,87,0.72,15,0.12,,,,,,,,,,,4.41,3717,30.84,2,0.02,0,0,0,2422,404,778,110,2,0,0,3,0,2145,240,85,37,20,3,2351,145,54,39,8,3,1359,286,117,38,19,3,1588,187,71,41,8,1,,,15.8,
